pubyear,new_work,stable,return_of_earlier_publisher,new_publisher_old_inactive,new_publisher
1473,1.0,0,0,0,0
1474,1.0,1.0,0,0,0
1475,0,0,0,0,0
1476,8.0,0,0,0,0
1477,10.0,2.0,0,0,0
1478,2.0,0,0,0,0
1479,5.0,1.0,0,0,0
1480,9.0,1.0,0,0,0
1481,6.0,1.0,0,0,1.0
1482,3.0,1.0,0,1.0,0
1483,22.0,3.0,0,1.0,0
1484,7.0,2.0,0,0,0
1485,10.0,0,0,0,2.0
1486,2.0,0,0,0,1.0
1487,4.0,2.0,0,0,1.0
1488,1.0,0,0,0,2.0
1489,5.0,2.0,0,2.0,0
1490,6.0,1.0,0,1.0,1.0
1491,2.0,0,1.0,0,0
1492,5.0,0,0,2.0,4.0
1493,2.0,0,0,1.0,4.0
1494,5.0,0,0,6.0,5.0
1495,9.0,0,1.0,3.0,11.0
1496,14.0,1.0,1.0,5.0,2.0
1497,9.0,4.0,1.0,5.0,5.0
1498,11.0,5.0,1.0,0,6.0
1499,15.0,9.0,1.0,2.0,5.0
1500,10.0,8.0,4.0,2.0,5.0
1501,4.0,3.0,0.5,1.0,1.5
1502,6.999999999999999,7.0,3.0,0,3.0
1503,6.0,4.0,1.0,4.0,4.0
1504,6.0,3.0,3.0,0,2.0
1505,26.0,2.0,1.0,3.0,10.0
1506,13.0,0,2.0,7.0,6.0
1507,6.0,1.0,3.5,2.0,9.500000000000002
1508,20.0,5.0,6.0,3.0,6.0
1509,20.0,7.0,3.0,2.0,6.0
1510,28.999999999999996,11.0,4.0,3.0,14.0
1511,10.0,6.0,2.5,4.0,4.5
1512,17.0,7.0,0,3.0,4.0
1513,14.0,3.0,2.0,0,3.0
1514,7.0,8.0,5.0,0,5.0
1515,25.0,10.0,6.333333333333333,2.6666666666666665,10.0
1516,11.0,7.0,6.5,4.0,5.5
1517,16.0,17.0,6.0,1.0,5.999999999999999
1518,20.0,15.0,2.0,0,5.0
1519,11.0,11.0,6.0,5.999999999999999,5.0
1520,39.0,13.0,9.0,4.0,12.0
1521,28.0,14.0,5.5,3.5,3.0
1522,22.0,15.0,2.0,1.0,3.0
1523,20.0,10.0,6.0,5.0,5.0
1524,4.0,10.0,8.666666666666666,2.333333333333333,3.0
1525,19.0,25.0,4.0,9.0,9.0
1526,17.0,18.0,3.0,2.0,9.0
1527,22.0,19.0,3.0,8.0,11.0
1528,21.0,12.5,3.0,7.0,11.5
1529,16.0,19.0,2.0,1.0,12.0
1530,44.0,15.0,5.0,3.0,24.0
1531,35.0,8.5,3.5,8.0,22.0
1532,32.0,5.0,4.5,4.0,10.5
1533,42.0,10.5,7.0,0,10.5
1534,45.0,12.0,3.0,10.0,7.0
1535,35.0,6.5,1.5,7.999999999999999,14.0
1536,31.0,3.5,0.5,6.0,7.0
1537,34.00000000000001,4.0,1.5,2.0,8.5
1538,30.0,4.0,4.0,12.0,18.0
1539,26.0,8.0,2.0,6.0,10.0
1540,29.0,7.0,0,5.0,8.0
1541,14.0,7.0,1.5,1.5,7.0
1542,37.99999999999997,3.5,1.0,5.0,5.499999999999999
1543,38.00000000000001,6.333333333333331,0,4.0,11.66666666666667
1544,30.0,6.0,0,11.0,2.0
1545,39.0,8.0,5.0,8.0,11.0
1546,36.0,6.0,3.0,6.999999999999999,9.0
1547,64.0,5.0,2.0,8.0,6.0
1548,148.0,4.5,2.0,31.0,12.5
1549,85.99999999999999,7.5,0.5,8.5,17.5
1550,107.0,6.0,0.5,14.0,27.499999999999993
1551,63.00000000000001,7.166666666666666,0.5,2.0,19.333333333333336
1552,49.0,4.0,8.5,17.5,12.0
1553,72.0,11.5,1.0,11.0,11.5
1554,63.0,10.0,0,16.0,12.000000000000002
1555,85.0,8.0,1.0,14.0,31.0
1556,53.0,13.5,0,11.0,29.5
1557,29.0,6.333333333333333,2.5,7.999999999999999,15.166666666666666
1558,38.0,6.166666666666667,0,7.0,26.833333333333336
